;companyId;companyName;ticker;price;gestao;dy;percentualcaixa;numerocotistas;patrimonio;p_vp;liquidezmediadiaria;dividend_cagr;cota_cagr
131;519;XP HOTÉIS - FDO INV IMOB;XPHT12;57.17;Ativa;0.0;0.6746;1588.0;330939050.81;0.6573;35467.21;;
132;96;XP Industrial;XPIN11;100.26;Ativa;7.4606;4.935;52090.0;730767593.24;0.9037;1405590.15;-2.6195;
133;103;Grand Plaza Shopping;ABCP11;74.39;Passiva;4.3958;1.3738;19167.0;1080029904.46;0.8406;127093.59;-7.0953;-1.5293
134;591;AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.;AFCR11;108.0;Ativa;11.6389;9.6934;1874.0;121528154.28;1.0551;226297.29;;
135;684;AF INVEST CRI;AFHI11;93.52;Ativa;2.1386;5.4301;3644.0;172958956.83;0.9666;666661.59;;
136;685;ALIANZA FOF;AFOF11;100.0;Ativa;3.5417;86.7733;246.0;39074015.74;0.9396;124048.53;;
137;646;AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.;AIEC11;84.9;Ativa;5.9953;4.6806;3055.0;483563218.73;0.8471;768187.02;;
138;126;HAZ;ATCR11;0.0;Ativa;0.0;0.7828;33.0;72860726.4;;;;
139;105;Hedge Atrium Shopping Santo André;ATSA11;102.0;Passiva;0.0;1.2035;253.0;172150140.21;1.0375;6325.26;;
140;127;BB Recebíveis Imobiliários;BBIM11;0.0;Ativa;0.0;9.8235;20.0;64624632.86;;;-13.0681;
141;703;FDO. INV. IMOB. A–TOWN;ATWN11;0.0;Passiva;0.0;0.64;2.0;93106600.74;;;;
142;31;Castello Branco Office Park;CBOP11;72.54;Passiva;8.6711;1.0844;4146.0;128289370.64;0.8001;94637.66;3.3982;2.0777
143;33;Cyrela Commercial Properties;CEOC11;69.0;Passiva;7.9198;2.0527;6798.0;156996079.15;0.798;75578.41;-6.0548;-5.2044
144;19;Vereda;VERE11;233.49;Ativa;9.3601;7.7384;54.0;172703163.23;0.7437;;6.0961;
145;699;FDO INV IMOB CJ;CJFI11;0.0;Ativa;0.0;0.4183;1.0;98041206.03;;;;
146;25;Torre Almirante;ALMI11;1198.71;Passiva;0.0;1.9726;3379.0;229163662.27;0.5815;68386.37;;-4.3545
147;521;FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII;BARI11;108.24;Ativa;13.5163;10.4103;27350.0;471004814.65;1.0649;2302227.88;;
148;128;BTG Fundo de Fundos;BCFF11;79.74;Ativa;7.5746;12.5328;283571.0;2056916721.02;0.9764;5177513.27;-1.9113;1.5385
149;129;Bradesco Carteira Imobiliária Ativa;BCIA11;93.71;Ativa;8.3876;0.3082;13902.0;398917797.85;0.8737;649066.34;-4.4142;-4.3245
150;130;Banestes Recebíveis Imobiliários;BCRI11;115.6;Ativa;11.2889;11.1701;42512.0;464020207.02;1.0962;2803867.41;4.0042;3.2578
151;612;BLUECAP RENDA LOG. FDO INV. IMOB. - FII;BLCP11;99.0;Ativa;6.5241;3.591;184.0;196742723.49;0.9671;323778.56;;
152;686;BLUEMACAW CRÉDITO IMOBILIÁRIO;BLMC11;101.5;Ativa;2.4898;7.3382;28.0;40287207.57;1.0065;3368.22;;
153;29;Brasilio Machado;BMII11;0.0;Ativa;0.0;0.1147;12.0;68958972.13;;;;
154;30;BM Brascan Lajes Corporativas;BMLC11;92.65;Ativa;7.4409;2.6498;1578.0;106667820.94;0.8672;31321.95;15.8656;5.1467
